sentence,head,tail,head_offset,tail_offset,head_type,tail_type
树是一种递归定义的包含根节点及子树的非线性结构,非线性结构,递归,18,4,CON,CON
树是一种递归定义的包含根节点及子树的非线性结构,非线性结构,子树,18,15,CON,CON
树是一种递归定义的包含根节点及子树的非线性结构,非线性结构,根节点,18,11,CON,CON
树是一种递归定义的包含根节点及子树的非线性结构,递归,子树,4,15,CON,CON
树是一种递归定义的包含根节点及子树的非线性结构,递归,根节点,4,11,CON,CON
树是一种递归定义的包含根节点及子树的非线性结构,子树,根节点,15,11,CON,CON
二叉搜索树的特点是左子树上所有节点的值均小于根节点的值，右子树上所有节点的值均大于根节点的值，且左右子树也分别为二叉搜索树,左子树,右子树,9,28,CON,CON
二叉搜索树的特点是左子树上所有节点的值均小于根节点的值，右子树上所有节点的值均大于根节点的值，且左右子树也分别为二叉搜索树,左子树,根节点,9,22,CON,CON
二叉搜索树的特点是左子树上所有节点的值均小于根节点的值，右子树上所有节点的值均大于根节点的值，且左右子树也分别为二叉搜索树,左子树,二叉搜索树,9,0,CON,CON
二叉搜索树的特点是左子树上所有节点的值均小于根节点的值，右子树上所有节点的值均大于根节点的值，且左右子树也分别为二叉搜索树,左子树,子树,9,50,CON,CON
二叉搜索树的特点是左子树上所有节点的值均小于根节点的值，右子树上所有节点的值均大于根节点的值，且左右子树也分别为二叉搜索树,左子树,根节点,9,41,CON,CON
二叉搜索树的特点是左子树上所有节点的值均小于根节点的值，右子树上所有节点的值均大于根节点的值，且左右子树也分别为二叉搜索树,左子树,二叉搜索树,9,56,CON,CON
二叉搜索树的特点是左子树上所有节点的值均小于根节点的值，右子树上所有节点的值均大于根节点的值，且左右子树也分别为二叉搜索树,右子树,根节点,28,22,CON,CON
二叉搜索树的特点是左子树上所有节点的值均小于根节点的值，右子树上所有节点的值均大于根节点的值，且左右子树也分别为二叉搜索树,右子树,二叉搜索树,28,0,CON,CON
二叉搜索树的特点是左子树上所有节点的值均小于根节点的值，右子树上所有节点的值均大于根节点的值，且左右子树也分别为二叉搜索树,右子树,子树,28,50,CON,CON
二叉搜索树的特点是左子树上所有节点的值均小于根节点的值，右子树上所有节点的值均大于根节点的值，且左右子树也分别为二叉搜索树,右子树,根节点,28,41,CON,CON
二叉搜索树的特点是左子树上所有节点的值均小于根节点的值，右子树上所有节点的值均大于根节点的值，且左右子树也分别为二叉搜索树,右子树,二叉搜索树,28,56,CON,CON
二叉搜索树的特点是左子树上所有节点的值均小于根节点的值，右子树上所有节点的值均大于根节点的值，且左右子树也分别为二叉搜索树,根节点,二叉搜索树,22,0,CON,CON
